OPE ID,School,State,Zip Code,School Type,Dependent Students,Independent Students,Quarterly Total,nan
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,295,235,530,
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,53,305,358,
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,110,85,195,
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,510,354,864,
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,70,146,216,
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,57,253,310,
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,"1,044",421,"1,465",
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,56,71,127,
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,290,528,818,
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,55,145,200,
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,160,418,578,
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,144,378,522,
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,99,387,486,
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,30,25,55,
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,260,306,566,
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,212,538,750,
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,79,711,790,
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,11,8,19,
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,55,68,123,
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,64,109,173,
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,114,338,452,
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,49,121,170,
00103300,OAKWOOD UNIVERSITY                      ,AL,35896-0001,Private      ,25,72,97,
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,117,130,247,
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,51,115,166,
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,155,222,377,
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,37,71,108,
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,39,53,92,
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,34,90,124,
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,340,963,"1,303",
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,271,83,354,
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,"1,106",731,"1,837",
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,548,793,"1,341",
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,312,311,623,
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,379,643,"1,022",
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,140,372,512,
00106000,COASTAL ALABAMA COMMUNITY COLLEGE       ,AL,36507-2698,Public       ,201,394,595,
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,60,171,231,
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,159,238,397,
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,14,44,58,
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,55,183,238,
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,37,88,125,
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,62,200,262,
00573400,H. COUNCILL TRENHOLM STATE COMMUNITY COL,AL,36108-0020,Public       ,85,225,310,
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,154,311,465,
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,111,236,347,
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,42,105,147,
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,48,151,199,
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,17,74,91,
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,0,41,41,
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,1,12,13,
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,14,15,29,
02341000,FORTIS COLLEGE                          ,AL,36608-3712,Proprietary  ,60,285,345,
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,3,67,70,
03002500,J.F. INGRAM STATE TECHNICAL COLLEGE     ,AL,36022-0350,Public       ,1,2,3,
03361400,FORTIS COLLEGE                          ,AL,36303-7859,Proprietary  ,59,215,274,
03709302,EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATH,AL,36832-6330,Private      ,0,4,4,
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,10,44,54,
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,2,19,21,
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,6,22,28,
04067300,SELMA UNIVERSITY                        ,AL,36701-5232,Private      ,4,6,10,
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,78,"1,679","1,757",
04149200,XCELL ACADEMY-A PAUL MITCHELL PARTNER SC,AL,35216-4990,Proprietary  ,11,23,34,
04187200,NEW BEGINNING COLLEGE OF COSMETOLOGY    ,AL,35951-0000,Proprietary  ,9,13,22,
04197500,UNIVERSITY ACADEMY OF HAIR DESIGN       ,AL,35401-5621,Proprietary  ,5,5,10,
04211000,SALON PROFESSIONAL ACADEMY (THE)        ,AL,35816-1849,Proprietary  ,9,13,22,
04226700,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE ,AL,36303-2251,Private      ,3,14,17,
04229400,MIDFIELD INSTITUTE OF COSMETOLOGY       ,AL,35228-2233,Private      ,5,14,19,
04255500,ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSM,AL,36545-2718,Proprietary  ,11,27,38,
04267900,BROWN BEAUTY BARBER SCHOOL              ,AL,35020-5016,Proprietary  ,1,10,11,
04273500,WINONAH'S INTERNATIONAL SCHOOL OF COSMET,AL,35244-7103,Proprietary  ,6,24,30,
00111100,ALLAN HANCOCK COLLEGE                   ,CA,93454-6399,Public       ,200,469,669,
00111300,ANTELOPE VALLEY COLLEGE                 ,CA,93536-5426,Public       ,449,"1,138","1,587",
00111600,ART CENTER COLLEGE OF DESIGN            ,CA,91103-1999,Private      ,96,73,169,
00111700,AZUSA PACIFIC UNIVERSITY                ,CA,91702-7000,Private      ,133,554,687,
00111800,BAKERSFIELD COLLEGE                     ,CA,93305-1299,Public       ,645,"3,062","3,707",
00111900,BARSTOW COMMUNITY COLLEGE               ,CA,92311-6608,Public       ,85,487,572,
00112000,BERKELEY SCHOOL OF THEOLOGY             ,CA,94704-0000,Private      ,3,14,17,
00112200,BIOLA UNIVERSITY                        ,CA,90639-0001,Private      ,88,159,247,
00112400,CABRILLO COLLEGE                        ,CA,95003-3194,Public       ,169,333,502,
00112500,CALIFORNIA BAPTIST UNIVERSITY           ,CA,92504-3297,Private      ,230,519,749,
00112700,CALIFORNIA COLLEGE OF THE ARTS          ,CA,94107-2206,Private      ,106,73,179,
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY      ,CA,91125-0001,Private      ,222,66,288,
00113200,CALIFORNIA INSTITUTE OF THE ARTS        ,CA,91355-2397,Private      ,110,56,166,
00113300,CALIFORNIA LUTHERAN UNIVERSITY          ,CA,91360-2787,Private      ,120,96,216,
00113400,CALIFORNIA STATE UNIVERSITY MARITIME ACA,CA,94590-8181,Public       ,31,17,48,
00113700,CALIF STATE UNIV-FULLERTON              ,CA,92831-3599,Public       ,"1,109",996,"2,105",
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY   ",CA,94542-3000,Public       ,290,514,804,
00113900,CALIF STATE UNIV-LONG BEACH             ,CA,90840-0006,Public       ,"1,447","1,036","2,483",
00114000,CALIF STATE UNIV-LOS ANGELES            ,CA,90032-4226,Public       ,713,894,"1,607",
