OPE ID,School,State,Zip Code,School Type,Dependent Students,Independent Students,Quarterly Total,nan
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,"1,953",733,"2,686",
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,368,924,"1,292",
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,598,278,876,
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,"1,828",984,"2,812",
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,266,316,582,
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,320,838,"1,158",
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,"3,047","1,601","4,648",
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,316,145,461,
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,"1,250","1,232","2,482",
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,309,379,688,
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,"1,162","1,112","2,274",
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,671,939,"1,610",
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,540,927,"1,467",
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,281,72,353,
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,"1,588",994,"2,582",
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,"1,171","1,413","2,584",
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,510,"1,845","2,355",
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,96,19,115,
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,433,225,658,
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,400,303,703,
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,648,860,"1,508",
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,264,301,565,
00103300,OAKWOOD UNIVERSITY                      ,AL,35896-0001,Private      ,369,167,536,
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,542,651,"1,193",
