OPE ID,School,State,Zip Code,School Type,Dependent Students,Independent Students,Quarterly Total,nan
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,570,588,"1,158",
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,183,672,855,
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,260,192,452,
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,832,838,"1,670",
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,188,312,500,
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,180,689,869,
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,"1,843","1,141","2,984",
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,129,140,269,
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,851,"1,070","1,921",
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,197,317,514,
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,603,868,"1,471",
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,452,924,"1,376",
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,421,876,"1,297",
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,106,64,170,
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,704,795,"1,499",
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,713,"1,305","2,018",
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,270,"1,982","2,252",
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,77,23,100,
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,245,201,446,
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,208,228,436,
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,469,861,"1,330",
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,211,333,544,
00103300,OAKWOOD UNIVERSITY                      ,AL,35896-0001,Private      ,380,197,577,
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,357,497,854,
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,189,271,460,
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,468,478,946,
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,125,125,250,
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,137,209,346,
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,105,114,219,
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,"1,076","2,304","3,380",
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,462,222,684,
00105100,UNIVERSITY OF ALABAMA (THE)             ,AL,35487-0120,Public       ,"2,373","1,520","3,893",
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM     ,AL,35294-1150,Public       ,"1,316","2,045","3,361",
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE     ,AL,35899-0001,Public       ,839,738,"1,577",
00105700,UNIVERSITY OF SOUTH ALABAMA             ,AL,36688-0002,Public       ,"1,141","1,595","2,736",
00105900,LAWSON STATE COMMUNITY COLLEGE          ,AL,35221-1798,Public       ,461,972,"1,433",
00106000,COASTAL ALABAMA COMMUNITY COLLEGE       ,AL,36507-2698,Public       ,727,953,"1,680",
00526000,J.F. DRAKE STATE TECH COLLEGE           ,AL,35811-1584,Public       ,116,341,457,
00569100,SHELTON STATE COMMUNITY CLG             ,AL,35405-4017,Public       ,469,637,"1,106",
00569200,REID STATE TECHNICAL COLLEGE            ,AL,36401-0000,Public       ,65,149,214,
00569700,NORTHWEST- SHOALS COMMUNITY COLLEGE     ,AL,35661-0000,Public       ,283,402,685,
00569900,GEORGE C WALLACE STATE CMTY COLLEGE     ,AL,36703-0000,Public       ,184,281,465,
00573300,BEVILL STATE CMTY COLLEGE-WALKER        ,AL,35148-0000,Public       ,228,505,733,
00573400,H. COUNCILL TRENHOLM STATE COMMUNITY COL,AL,36108-0020,Public       ,313,696,"1,009",
00787100,GEORGE C WALLACE STATE CMTY CLG         ,AL,35077-2000,Public       ,574,675,"1,249",
00831000,AUBURN UNIVERSITY-MONTGOMERY            ,AL,36124-0000,Public       ,407,631,"1,038",
00898800,LURLEEN B WALLACE COMMUNITY COLLEGE     ,AL,36420-0418,Public       ,148,218,366,
01218200,CHATTAHOOCHEE VALLEY CMTY CLG           ,AL,36869-7917,Public       ,186,375,561,
01303906,SOUTH UNIVERSITY - MONTGOMERY           ,AL,36116-1120,Proprietary  ,35,190,225,
02170600,UNITED STATES SPORTS ACADEMY            ,AL,36526-7055,Private      ,15,69,84,
02199700,HERITAGE CHRISTIAN UNIVERSITY           ,AL,35630-0000,Private      ,8,39,47,
02285000,PAUL MITCHELL THE SCHOOL HUNTSVILLE     ,AL,35758-0000,Proprietary  ,13,34,47,
02341000,FORTIS COLLEGE                          ,AL,36608-3712,Proprietary  ,116,481,597,
02503400,AMRIDGE UNIVERSITY                      ,AL,36124-0000,Private      ,18,332,350,
03002500,J.F. INGRAM STATE TECHNICAL COLLEGE     ,AL,36022-0350,Public       ,2,9,11,
03361400,FORTIS COLLEGE                          ,AL,36303-7859,Proprietary  ,83,344,427,
03709302,EDWARD VIA VIRGINIA COLLEGE OF OSTEOPATH,AL,36832-6330,Private      ,0,17,17,
03783300,BLUE CLIFF CAREER COLLEGE               ,AL,63306-4749,Proprietary  ,28,66,94,
03894300,HUNTSVILLE BIBLE COLLEGE                ,AL,35811-0000,Private      ,4,53,57,
04066300,CARDIAC AND VASCULAR INSTITUTE OF ULTRAS,AL,36604-1411,Proprietary  ,10,41,51,
04067300,SELMA UNIVERSITY                        ,AL,36701-5232,Private      ,7,22,29,
04121500,COLUMBIA SOUTHERN UNIVERSITY            ,AL,36561-3815,Proprietary  ,126,"2,615","2,741",
