OPE ID,School,State,Zip Code,School Type,Dependent Students,Independent Students,Quarterly Total,nan
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,"4,253",661,"4,914",
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,634,526,"1,160",
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,"1,820",295,"2,115",
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,"6,126","1,100","7,226",
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,415,226,641,
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,381,513,894,
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,"25,916","1,948","27,864",
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,"1,202",191,"1,393",
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,"1,477",800,"2,277",
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,426,250,676,
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,"3,222",728,"3,950",
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,"1,056",715,"1,771",
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,614,554,"1,168",
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,928,96,"1,024",
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,"5,351","1,246","6,597",
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,"1,469","1,059","2,528",
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,"1,131",944,"2,075",
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,106,12,118,
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,912,294,"1,206",
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,819,209,"1,028",
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,541,675,"1,216",
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,414,188,602,
00103300,OAKWOOD UNIVERSITY                      ,AL,35896-0001,Private      ,434,114,548,
